,3000,5000
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
9,1.0,1.0
10,1.0,1.0
11,1.0,1.0
12,1.0,1.0
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,0.995,1.0
17,0.995,1.0
18,0.995,1.0
19,0.995,1.0
20,0.995,1.0
21,0.99,1.0
22,0.99,0.995
23,0.99,0.99
24,0.985,0.99
25,0.985,0.99
26,0.975,0.99
27,0.97,0.99
28,0.97,0.99
29,0.965,0.99
30,0.96,0.99
31,0.96,0.99
32,0.96,0.99
33,0.955,0.985
34,0.94,0.985
35,0.94,0.985
36,0.94,0.98
37,0.935,0.96
38,0.935,0.955
39,0.935,0.95
40,0.93,0.95
41,0.925,0.945
42,0.92,0.945
43,0.915,0.935
44,0.915,0.93
45,0.91,0.925
46,0.905,0.92
47,0.895,0.905
48,0.895,0.9
49,0.895,0.895
50,0.895,0.895
51,0.895,0.89
52,0.895,0.875
53,0.89,0.865
54,0.89,0.86
55,0.89,0.855
56,0.89,0.85
57,0.885,0.845
58,0.88,0.84
59,0.88,0.84
60,0.875,0.835
61,0.875,0.83
62,0.875,0.83
63,0.87,0.83
64,0.865,0.83
65,0.86,0.83
66,0.86,0.825
67,0.86,0.825
68,0.86,0.825
69,0.86,0.825
70,0.86,0.82
71,0.86,0.82
72,0.86,0.815
73,0.855,0.815
74,0.85,0.81
75,0.85,0.805
76,0.845,0.805
77,0.845,0.795
78,0.845,0.795
79,0.845,0.79
80,0.845,0.79
81,0.845,0.79
82,0.835,0.79
83,0.835,0.785
84,0.83,0.78
85,0.82,0.78
86,0.81,0.78
87,0.81,0.78
88,0.8,0.78
89,0.8,0.78
90,0.8,0.78
91,0.79,0.78
92,0.79,0.78
93,0.79,0.78
94,0.785,0.78
95,0.78,0.775
96,0.775,0.775
97,0.77,0.775
98,0.765,0.77
99,0.765,0.77
100,0.765,0.77
101,0.765,0.77
102,0.765,0.765
103,0.765,0.765
104,0.76,0.765
105,0.76,0.76
106,0.76,0.755
107,0.76,0.755
108,0.76,0.75
109,0.755,0.745
110,0.755,0.745
111,0.755,0.745
112,0.745,0.745
113,0.745,0.745
114,0.745,0.745
115,0.745,0.745
116,0.745,0.745
117,0.745,0.745
118,0.745,0.74
119,0.745,0.74
120,0.745,0.74
121,0.745,0.74
122,0.745,0.74
123,0.74,0.73
124,0.74,0.73
125,0.73,0.73
126,0.73,0.73
127,0.73,0.73
128,0.725,0.725
129,0.725,0.72
130,0.725,0.71
131,0.725,0.71
132,0.725,0.71
133,0.725,0.71
134,0.72,0.71
135,0.72,0.71
136,0.715,0.705
137,0.71,0.7
138,0.705,0.695
139,0.705,0.695
140,0.7,0.69
141,0.7,0.69
142,0.7,0.69
143,0.7,0.69
144,0.695,0.69
145,0.695,0.69
146,0.695,0.685
147,0.695,0.68
148,0.695,0.675
149,0.695,0.67
150,0.695,0.66
151,0.695,0.66
152,0.695,0.66
153,0.695,0.66
154,0.695,0.66
155,0.69,0.655
156,0.69,0.655
157,0.69,0.655
158,0.69,0.655
159,0.69,0.65
160,0.685,0.65
161,0.685,0.65
162,0.685,0.65
163,0.685,0.645
164,0.685,0.645
165,0.68,0.645
166,0.68,0.645
167,0.68,0.645
168,0.68,0.645
169,0.68,0.645
170,0.68,0.645
171,0.675,0.645
172,0.675,0.645
173,0.675,0.645
174,0.675,0.645
175,0.675,0.64
176,0.675,0.635
