,3000,5000,8000
0,3410,5447,8542
1,3694,6207,10090
2,3354,6899,8342
3,3091,5080,8308
4,3252,8040,8068
5,3532,5748,8382
6,3356,5309,9324
7,3047,5263,9314
8,3544,5795,8203
9,3316,5071,8833
10,3206,5209,8037
11,5123,5393,10070
12,3060,5337,8050
13,3063,5455,8541
14,3379,5032,9092
15,3285,5284,8332
16,3033,5147,8282
17,3040,5109,8575
18,3134,5541,8279
19,3280,5362,8065
20,3326,6313,8178
21,3279,5155,8942
22,3088,5097,8569
23,4156,5721,8433
24,3336,5869,8247
25,5112,5235,8343
26,3634,5381,8077
27,3155,5404,8344
28,3058,5033,8474
29,3252,5177,8410
30,3663,5025,8247
31,3104,5087,8064
32,3452,5569,8452
33,3085,5197,8159
34,3224,5312,8278
35,3384,5605,8307
36,3358,5360,8275
37,3749,6676,9854
38,3338,6069,8103
39,3397,5106,8508
40,3695,5496,8252
41,3997,6842,8131
42,3144,5165,8097
43,3446,5372,8620
44,3045,5147,8219
45,3463,5372,8260
46,3082,5544,8607
47,3690,6300,8042
48,3522,5060,8088
49,3415,5029,8063
50,3284,5502,8366
51,3137,5321,8735
52,3629,5367,8485
53,3389,5799,8360
54,3775,5167,8350
55,3742,5335,8711
56,3466,5206,8777
57,4171,5656,8824
58,3451,5440,10193
59,4038,5198,8540
60,3042,5045,8345
61,5660,5516,8885
62,3094,5778,8077
63,4335,5296,8879
64,3327,5063,8249
65,3086,6835,8056
66,3034,5127,8363
67,3597,5164,8352
68,3041,6220,10033
69,3053,5170,8023
70,3798,5339,8172
71,3335,5260,8298
72,3671,5440,8285
73,3284,5373,8362
74,3563,5993,8322
75,3232,5313,8509
76,3860,5142,8421
77,3091,5052,8059
78,3029,5307,8779
79,3112,6060,8112
80,3820,5334,8041
81,3409,5035,8056
82,3088,5089,8863
83,3128,5715,8507
84,5065,5590,8495
85,3160,5658,8073
86,3180,5280,8024
87,4586,5268,8065
88,3854,5698,8281
89,5003,7336,8426
90,3016,5054,8407
91,3484,5046,8240
92,3912,6412,8055
93,3074,5199,8042
94,3125,5933,8573
95,3171,5053,8311
96,3065,5532,8904
97,3096,5206,10087
98,3562,5141,8471
99,3426,5842,8118
100,3720,5125,8087
101,3112,5236,8400
102,4543,6342,9285
103,3893,5809,8316
104,3557,5185,8554
105,3027,5283,8193
106,4008,5204,8142
107,3929,5360,8062
108,3707,5170,8064
109,3198,5089,8424
110,3326,6043,8374
111,3377,5061,8171
112,3861,5360,8322
113,3566,5025,8202
114,3460,5192,8825
115,3414,5162,8513
116,3046,5135,8500
117,3026,5260,8388
118,3865,5184,8545
119,3335,6175,8059
120,3097,5538,8603
121,3261,5502,8122
122,4830,5607,8332
123,3545,5513,8043
124,3520,5804,8897
125,3057,5073,8079
126,3335,5752,8196
