,500,1000,2000,3000
0,683,1104,2043,3056
1,617,1249,2036,3085
2,551,1243,2067,3044
3,540,1115,2035,3060
4,534,1045,2176,3104
5,527,1039,2062,3032
6,553,1047,2112,3051
7,555,1181,2146,3034
8,545,1241,2047,3041
9,579,1171,2068,3196
10,605,1123,2086,3034
11,566,1138,2045,3093
12,583,1063,2152,3074
13,538,1145,2032,3066
14,664,1175,2141,3031
15,549,1292,2048,3157
16,555,1106,2088,3272
17,651,1174,2035,3043
18,705,1030,2054,3174
19,600,1075,2115,3163
20,575,1044,2090,3068
21,527,1136,2265,3072
22,678,1095,2069,3070
23,827,1092,2042,3065
24,607,1107,2092,3051
25,631,1027,2036,3148
26,603,1042,2049,3052
27,553,1216,2051,3578
28,545,1074,2260,3071
29,719,1115,2108,3123
30,535,1107,2120,3171
31,560,1121,2076,3056
32,695,1400,2075,3069
33,538,1191,2042,3228
34,544,1056,2044,3284
35,588,1060,2116,3153
36,547,1057,2081,3218
37,567,1082,2057,3042
38,744,1064,2110,3105
39,565,1105,2026,3220
40,566,1243,2211,3119
41,1272,1107,2060,3044
42,544,1030,2157,3050
43,606,1034,2051,3079
44,541,1171,2027,3094
45,589,1141,2124,3060
46,628,1423,2062,3119
47,538,1033,2058,3024
48,593,1176,2050,3302
49,544,1283,2042,3113
50,809,1098,2094,3089
51,591,1358,2046,3034
52,576,1075,2099,3139
53,757,1121,2182,3063
54,534,1049,2074,3049
55,674,1042,2097,3229
56,615,1041,2021,3101
57,534,1024,2084,3052
58,560,1165,2077,3054
59,665,1043,2720,3088
60,543,1205,2147,3055
61,574,1029,2066,3105
62,547,1057,2132,3041
63,563,1243,2076,3417
64,592,1040,2087,3087
65,546,1019,2067,3146
66,534,1175,2280,3127
67,652,1039,2425,3074
68,559,1078,2093,3100
69,923,1324,2260,3057
70,596,1044,2121,3051
71,531,1235,2132,4033
72,581,1174,2064,3109
73,551,1302,2056,3045
74,532,1078,2096,3038
75,573,1116,2059,3117
76,660,1062,2181,3020
77,533,1078,2051,3030
78,529,1093,2079,3214
79,695,1041,2069,3054
80,539,1031,2045,3113
81,617,1118,2029,3183
82,556,1067,2119,3041
83,546,1256,2278,3140
84,741,1108,2037,3066
85,579,1054,2042,3069
86,715,1094,2053,3088
87,717,1125,2063,3058
88,636,1197,2468,3121
89,1293,1063,2286,3267
90,765,1033,2047,3128
91,563,1121,2311,3119
92,801,1071,2058,3040
93,609,1070,2056,3068
94,572,1057,2119,3070
95,577,1048,2140,3151
96,574,1067,2062,3438
97,573,1049,2029,3028
98,568,1026,2216,3029
99,606,1068,2039,3089
100,532,1090,2029,3150
101,735,1088,2085,3080
102,592,1060,2096,3029
103,603,1126,2101,3024
104,686,1132,2044,3073
105,559,1469,2037,3065
106,674,1131,2028,3139
107,1053,1030,2043,3152
108,639,1159,2266,3053
109,587,1100,2055,3076
110,588,1044,2044,3043
111,564,1054,2036,3024
112,623,1064,2059,3175
113,878,1123,2035,3058
114,669,1036,2394,3077
115,535,1188,2197,3164
116,589,1120,2049,3035
117,553,1321,2105,3046
118,524,1142,2061,3066
119,628,1028,2070,3050
120,584,1073,2081,3038
121,536,1055,2095,3072
122,604,1064,2279,3073
123,579,1070,2106,3129
124,595,1084,2128,3026
125,589,1032,2092,3189
126,603,1128,2180,3037
127,755,1095,2184,3047
128,633,1243,2051,3070
129,639,1256,2253,3191
130,640,1057,2046,3030
131,542,1068,2168,3059
132,609,1031,2078,3035
133,663,1029,2051,3039
134,579,1113,2094,3047
135,560,1037,2120,3614
136,551,1128,2368,3044
137,583,1104,2070,3203
138,543,1088,2040,3103
139,545,1073,2076,3320
140,539,1041,2042,3092
141,568,1074,2123,3037
142,576,1063,2176,3044
143,544,1060,2034,3045
144,582,1056,2307,3057
145,557,1022,2118,3077
146,663,1062,2029,3158
147,580,1167,2221,3164
148,581,1379,2069,3073
149,1021,1084,2065,3111
150,618,1103,2082,3141
151,562,1033,2096,3034
152,767,1087,2106,3054
153,639,1052,2195,3085
154,551,1058,2077,3134
155,536,1107,2040,3041
156,671,1054,2174,3053
157,601,1054,2077,3092
158,527,1061,2125,3047
159,576,1024,2132,3049
160,564,1065,2086,3086
161,866,1206,2032,3142
162,583,1407,2281,3071
163,617,1066,2111,3045
164,753,1077,2069,3047
165,582,1101,2055,3072
166,946,1144,2468,3061
167,626,1059,2059,3042
168,614,1077,2066,3212
169,537,1042,2031,3083
170,564,1072,2163,3104
171,657,1039,2095,3075
172,554,1151,2250,3059
173,557,1058,2080,3066
174,531,1127,2052,3051
175,603,1209,2104,3086
176,590,1054,2278,4095
177,698,1050,2157,3129
178,664,1111,2060,3243
179,533,1158,2048,3170
180,594,1133,2180,3042
181,763,1169,2070,3078
182,534,1145,2035,3081
183,601,1049,2119,3346
184,527,1028,2076,3172
185,676,1508,2057,3171
186,592,1041,2030,3132
187,534,1045,2336,3033
188,614,1165,2028,3076
189,623,1146,2122,3061
190,569,1042,2124,3176
191,537,1040,2040,3240
192,559,1094,2176,3041
193,525,1072,2086,3036
194,560,1255,2248,3167
195,623,1129,2053,3485
196,811,1111,2122,3208
