,2000,3000,5000
0,2095,3102,5034
1,2196,3151,5059
2,2062,3055,5082
3,2035,3041,5246
4,2141,3157,5285
5,2054,3123,5033
6,2040,3091,5030
7,2248,3019,5075
8,2136,3071,5068
9,2141,3031,5123
10,2112,3046,5036
11,2039,3046,5109
12,2064,3042,5046
13,2079,3116,5060
14,2269,3120,5016
15,2081,3045,5238
16,2234,3201,5043
17,2188,3025,5026
18,2036,3150,5138
19,2047,3099,5021
20,2036,3029,5037
21,2037,3149,5101
22,2262,3065,5128
23,2072,3029,5091
24,2186,3083,5027
25,2081,3195,5314
26,2093,3041,5107
27,2076,3055,5068
28,2049,3029,5063
29,2351,3057,5195
30,2125,3201,5199
31,2031,3154,5047
32,2118,3046,5175
33,2039,3096,5353
34,2040,3035,5067
35,2229,3075,5415
36,2118,3243,5307
37,2148,3059,5049
38,2060,3076,5653
39,2027,3060,5057
40,2045,3315,5054
41,2135,3039,5077
42,2033,3132,5059
43,2314,3161,5136
44,2057,3057,5087
45,2030,3140,5038
46,2198,3088,5076
47,2059,3205,5162
48,2049,3107,5027
49,2028,3122,5064
50,2160,3061,5072
51,2032,3064,5054
52,2101,3048,5067
53,2070,3043,5034
54,2041,3124,5232
55,2089,3057,5263
56,2065,3173,5045
57,2066,3160,5189
58,2042,3036,5072
59,2221,3080,5041
60,2102,3036,5163
61,2231,3046,5094
62,2175,3024,5074
63,2095,3077,5118
64,2029,3152,5453
65,2045,3113,5120
66,2070,3075,5072
67,2151,3036,5139
68,2073,3062,5056
69,2035,3190,5024
70,2053,3339,5037
71,2035,3585,5258
72,2092,3054,5372
73,2030,3027,5075
74,2037,3059,5197
75,2157,3088,5088
76,2074,3228,5081
77,2032,3061,5119
78,2086,3127,5032
79,2127,3109,5071
80,2398,3197,5167
81,2136,3117,5025
82,2044,3176,5077
83,2024,3055,5088
84,2061,3048,5215
85,2041,3033,5177
86,2372,3066,5242
87,2106,3205,5056
88,2260,3186,5037
89,2154,3095,5077
90,2141,3059,5057
91,2070,3031,5096
92,2113,3062,5025
93,2053,3084,5213
94,2046,3090,5175
95,2065,3046,5065
96,2057,3100,5041
97,2021,3068,5177
98,2036,3123,5175
99,2068,3088,5036
100,2039,3043,5068
101,2029,3060,5100
102,2030,3047,5230
103,2314,3055,5063
104,2118,3158,5068
105,2130,3050,5083
106,2188,3068,5034
107,2067,3196,5026
108,2086,3140,5165
109,2154,3028,5107
110,2065,3031,5066
111,2110,3055,5062
112,2190,3067,5033
113,2302,3077,5062
114,2066,3088,5034
115,2188,3045,5107
116,2074,3120,5139
117,2219,3123,5049
118,2061,3077,5099
119,2085,3039,5202
120,2456,3059,5107
121,2040,3083,5049
122,2095,3086,5147
123,2030,3130,5071
124,2115,3087,5100
125,2032,3072,5047
126,2061,3151,5202
127,2051,3103,5071
128,2306,3085,5056
129,2253,3083,5058
130,2078,3027,5080
131,2058,3162,5087
132,2066,3346,5131
133,2083,3063,5100
134,2045,3049,5165
135,2263,3117,5047
136,2059,3039,5059
137,2068,3080,5073
138,2038,3059,5100
139,2060,3061,5071
140,2260,3039,5223
141,2082,3185,5182
142,2058,3132,5234
143,2064,3047,5143
144,2073,3245,5155
145,2116,3167,5062
146,2178,3261,5096
147,2036,3060,5050
148,2177,3051,5062
149,2116,3116,5326
150,2051,3101,5041
151,2043,3037,5038
152,2040,3046,5169
153,2147,3123,5294
154,2058,3111,5070
155,2045,3098,5038
156,2140,3077,5054
157,2027,3174,5050
158,2073,3080,5061
159,2047,3150,5198
160,2022,3138,5108
161,2248,3131,5063
162,2225,3051,5035
163,2032,3065,5047
164,2065,3088,5250
165,2105,3029,5073
166,2187,3075,5203
167,2262,3106,5049
168,2061,3135,5099
169,2039,3039,5064
170,2027,3056,5045
171,2164,3215,5031
172,2025,3177,5106
173,2034,3090,5259
174,2061,3033,5033
175,2099,3053,5064
176,2040,3254,5196
177,2269,3206,5069
178,2240,3108,5051
179,2043,3032,5092
180,2056,3123,5047
181,2181,3114,5067
182,2155,3070,5045
183,2350,3040,5063
184,2035,3020,5084
185,2115,3302,5116
186,2021,3033,5092
187,2094,3179,5049
188,2076,3213,5131
189,2291,3112,5018
190,2046,3085,5049
191,2193,3127,5057
192,2169,3094,5065
193,2049,3032,5202
194,2044,3047,5196
195,2090,3063,5046
196,2035,3104,5043
197,2250,3050,5080
198,2077,3081,5080
199,2071,3241,5073
200,2056,3103,5026
201,2223,3148,5063
202,2027,3019,5076
203,2051,3043,5029
204,2026,3040,5040
205,2299,3105,5055
206,2064,3075,5093
207,2046,3164,5036
208,2116,3102,5150
209,2053,3103,5138
210,2057,3052,5086
