,300,500,800
1,1.1731,1.0024,1.0
2,1.1713,1.0024,1.0
3,1.1687,1.0024,1.0
4,1.166,1.0021,1.0
5,1.1626,1.002,1.0
6,1.1601,1.002,1.0
7,1.1569,1.0019,1.0
8,1.1535,1.0018,0.9999
9,1.1509,1.0018,0.9999
10,1.1486,1.0018,0.9999
11,1.146,1.0017,0.9999
12,1.1443,1.0015,0.9998
13,1.1413,1.0011,0.9998
14,1.1389,1.0009,0.9998
15,1.1357,1.0007,0.9997
16,1.1338,1.0005,0.9996
17,1.1311,1.0003,0.9995
18,1.1283,1.0,0.9991
19,1.1258,0.9999,0.9991
20,1.1233,0.9999,0.999
21,1.1199,0.9996,0.999
22,1.1173,0.9996,0.9988
23,1.1147,0.9995,0.9988
24,1.1121,0.9993,0.9985
25,1.1088,0.999,0.9982
26,1.107,0.9988,0.9981
27,1.1043,0.9986,0.998
28,1.1024,0.9984,0.9977
29,1.1005,0.9982,0.9973
30,1.0981,0.998,0.9971
31,1.0959,0.9976,0.9971
32,1.0925,0.9974,0.997
33,1.0906,0.9972,0.9965
34,1.0887,0.9969,0.9965
35,1.0867,0.9965,0.9961
36,1.0851,0.9963,0.9957
37,1.0836,0.996,0.9957
38,1.0817,0.9958,0.9954
39,1.0792,0.9953,0.9952
40,1.0766,0.995,0.9949
41,1.0741,0.9943,0.9946
42,1.072,0.9942,0.9941
43,1.0701,0.9939,0.9939
44,1.0682,0.9935,0.9932
45,1.0666,0.9931,0.9927
46,1.0644,0.9924,0.9923
47,1.0626,0.9921,0.9915
48,1.0613,0.9912,0.9908
49,1.0598,0.9908,0.99
50,1.0572,0.9902,0.9894
51,1.0552,0.9894,0.9887
52,1.0538,0.9888,0.9883
53,1.0522,0.9876,0.9877
54,1.0504,0.987,0.9873
55,1.0483,0.9867,0.986
56,1.0458,0.986,0.9856
57,1.0439,0.9858,0.9847
58,1.0425,0.9851,0.9836
59,1.041,0.9847,0.9829
60,1.0397,0.9838,0.9823
61,1.0372,0.9829,0.9817
62,1.0356,0.9821,0.9816
63,1.0332,0.981,0.981
64,1.0319,0.9801,0.9798
65,1.0301,0.9795,0.9791
66,1.0277,0.9785,0.9784
67,1.0254,0.9776,0.9777
68,1.0232,0.9765,0.9767
69,1.021,0.9756,0.9759
70,1.0186,0.9744,0.975
71,1.0162,0.9733,0.9729
72,1.0134,0.9722,0.9719
73,1.0119,0.9714,0.971
74,1.0099,0.9707,0.9701
75,1.0076,0.9691,0.9687
76,1.0048,0.9682,0.9676
77,1.0026,0.9676,0.9663
78,1.0003,0.9666,0.9643
79,0.9978,0.9652,0.9632
80,0.9958,0.9647,0.9613
81,0.9932,0.9632,0.9598
82,0.9899,0.9614,0.9578
83,0.9875,0.9592,0.9573
84,0.9861,0.958,0.9551
85,0.9839,0.9563,0.9538
86,0.9813,0.9551,0.9516
87,0.979,0.9533,0.9499
88,0.9771,0.9517,0.9474
89,0.975,0.9488,0.9457
90,0.9732,0.9473,0.9438
91,0.9706,0.9461,0.9416
92,0.9687,0.9453,0.9406
93,0.966,0.9438,0.9396
94,0.9638,0.9422,0.9381
95,0.9615,0.9393,0.9371
96,0.9593,0.9371,0.9346
97,0.9566,0.9351,0.9334
98,0.954,0.9332,0.9315
99,0.952,0.9311,0.9296
100,0.9496,0.9296,0.9266
101,0.9464,0.9277,0.9245
102,0.9442,0.9251,0.9223
103,0.9421,0.9229,0.9201
104,0.94,0.9208,0.9181
105,0.9371,0.9192,0.9154
106,0.9345,0.9169,0.9134
107,0.932,0.9142,0.9105
108,0.9297,0.9119,0.9082
109,0.9271,0.9094,0.9055
110,0.9245,0.9076,0.9029
111,0.9224,0.9054,0.9003
112,0.9194,0.9021,0.8977
113,0.9171,0.9005,0.895
114,0.9145,0.8979,0.8917
115,0.9125,0.8946,0.8895
116,0.9099,0.8912,0.8879
