,300,500,800
0,603,587,998
1,652,771,885
2,626,719,1088
3,490,786,1029
4,385,781,1186
5,611,741,1050
6,714,592,962
7,574,753,1057
8,386,648,1104
9,453,677,1072
10,543,696,1148
11,561,823,1091
12,712,617,885
13,380,641,1120
14,498,664,1107
15,412,704,951
16,628,664,1060
17,526,691,1005
18,560,717,967
19,659,793,1160
20,522,529,1037
21,522,582,1018
22,510,853,943
23,586,770,953
24,508,572,1124
25,468,775,974
26,418,894,855
27,410,696,1006
28,539,785,967
29,419,807,1013
30,561,632,945
31,530,996,948
32,589,855,877
33,585,638,1081
34,463,958,1090
35,500,763,1018
36,466,792,1028
37,564,803,1093
38,447,748,971
39,546,716,903
40,554,508,985
41,638,684,1150
42,569,595,959
43,437,634,913
44,513,714,1168
45,539,784,1039
46,479,688,1166
47,494,730,955
48,556,647,977
49,403,623,880
50,544,669,1087
51,424,695,1010
52,432,641,967
53,582,684,898
54,426,548,958
55,505,725,1030
56,481,735,937
57,549,675,1012
58,510,617,1064
59,595,661,1185
60,396,797,1013
61,464,655,1002
62,644,820,921
63,459,610,1012
64,459,779,869
65,527,687,899
66,527,629,1070
67,475,912,986
68,386,702,1116
69,539,794,974
70,483,727,1115
71,475,761,955
72,497,852,910
73,534,912,1069
74,412,709,1050
75,630,819,1064
76,455,776,995
77,502,835,1089
78,441,640,822
79,535,712,1164
80,400,861,1150
81,441,701,1109
82,411,746,911
83,544,709,1079
84,455,712,1040
85,631,710,1065
86,582,600,1147
87,629,766,942
88,494,971,873
89,462,671,997
90,513,641,1003
91,495,600,1051
92,627,784,974
93,699,757,968
94,423,612,1014
95,520,778,1112
96,820,717,1011
97,430,729,1056
98,799,699,940
99,610,735,962
100,412,588,1071
101,584,808,1012
102,532,627,1126
103,465,613,1023
104,600,732,1010
105,397,781,1064
106,466,711,1020
107,625,712,1086
108,539,807,944
109,474,839,886
110,484,679,1034
111,712,792,990
112,515,699,998
113,532,813,1024
114,415,751,981
115,519,851,1052
116,592,791,966
117,437,597,1057
118,513,785,1032
119,492,621,889
120,416,756,1057
121,488,631,1097
122,436,670,959
123,548,723,1160
124,608,742,1031
125,642,846,1039
126,397,674,907
127,430,743,915
128,567,799,860
129,524,815,1021
130,435,801,1179
131,633,720,930
132,641,675,1063
133,451,598,1005
134,492,654,1155
135,489,853,963
136,680,674,1158
137,637,596,1205
138,637,755,933
139,523,616,1198
140,328,902,1006
141,538,721,1021
142,491,734,1070
143,388,806,918
144,508,825,926
145,515,809,944
146,538,734,1032
147,524,525,1082
148,475,749,913
149,509,670,1116
150,442,811,961
151,628,784,1149
152,613,852,852
153,484,741,940
154,471,752,1142
155,774,720,1012
156,437,706,1016
157,398,845,971
158,559,810,1093
159,493,785,1088
160,582,800,1250
161,443,582,952
162,669,826,817
163,620,742,983
164,598,689,1165
165,620,533,887
166,651,698,1090
167,371,628,1004
168,331,668,1111
169,571,774,991
170,364,700,933
171,481,610,904
172,551,740,1051
173,578,724,1084
174,477,594,1044
175,474,688,930
176,608,722,1104
177,394,793,935
178,457,735,920
179,487,654,1026
180,532,654,1043
181,415,743,1081
182,347,660,1082
183,601,788,1177
184,595,887,1003
185,563,667,1298
186,535,758,1113
187,380,624,973
188,614,703,915
189,367,730,1038
190,405,793,1019
191,510,671,1075
192,624,772,1042
193,550,746,1041
194,452,725,1165
195,528,672,998
196,545,639,1013
197,471,631,925
198,394,712,900
199,501,780,983
200,679,749,1085
201,562,704,1085
202,531,679,1004
203,550,892,1243
204,363,879,954
205,507,674,1012
206,537,705,910
207,509,745,968
208,455,621,987
209,613,692,1042
210,510,611,902
211,607,640,1100
212,386,568,1040
213,448,699,1114
214,417,852,1000
215,346,831,954
216,714,713,867
217,482,687,1083
218,473,974,1119
219,611,657,932
220,535,685,1046
221,727,676,1215
222,498,716,999
223,598,649,1079
224,471,716,961
225,665,780,992
226,565,731,1171
227,550,803,1098
228,409,715,966
229,436,924,986
230,481,769,951
231,548,851,1014
232,587,723,990
233,492,768,1235
234,530,770,1055
235,607,717,1047
236,589,659,910
237,661,825,1060
238,563,694,1194
239,568,661,1005
240,547,629,1188
241,730,826,1019
242,471,809,1104
243,324,556,1026
244,505,715,884
245,474,661,1010
246,614,650,1207
247,401,732,1103
248,521,777,1034
249,441,604,992
250,532,543,1320
251,501,616,987
252,455,797,937
253,606,648,1034
254,479,657,998
255,368,734,1057
256,440,732,1093
257,524,778,946
258,460,720,926
259,445,689,951
260,625,675,1136
261,577,566,851
262,506,805,1049
263,482,637,1047
264,458,824,881
265,453,590,989
266,557,680,890
267,634,692,1202
268,384,776,1043
269,633,832,1024
270,470,621,1041
271,663,625,1008
272,587,641,1028
273,342,614,916
274,615,741,1084
275,460,769,1121
276,483,749,1008
277,514,721,994
278,619,852,1155
279,457,666,907
280,592,740,1143
281,561,646,976
282,532,616,975
283,516,901,1122
284,611,717,1026
285,457,690,946
286,499,722,975
287,457,820,1051
288,456,783,1130
289,656,721,914
290,579,696,944
291,526,736,882
292,613,861,912
293,364,723,1039
294,537,759,1153
295,669,791,982
296,374,789,1005
297,491,861,917
298,675,804,1032
299,482,840,1099
300,523,631,979
301,498,745,1097
302,694,562,1038
303,457,715,1072
304,579,594,1039
305,376,831,969
306,387,633,1060
307,734,729,1126
308,639,805,1079
309,639,702,906
310,490,848,1029
311,604,681,1046
312,538,770,1052
313,564,691,1044
314,338,676,1218
315,494,852,1079
316,490,629,909
317,598,598,857
318,427,736,1130
319,593,595,1067
320,350,810,966
321,491,846,1093
322,418,800,1175
323,574,698,1138
324,506,726,1025
325,460,763,976
326,445,668,1169
327,581,594,997
328,591,814,1009
329,559,831,1054
330,494,773,1175
331,543,757,913
332,507,580,996
333,492,877,1051
334,524,726,1088
335,771,798,980
336,579,727,1153
337,642,636,1040
338,475,973,1035
339,523,709,1032
340,587,626,1089
341,567,708,970
342,580,649,990
343,632,793,1084
344,659,701,1129
345,455,802,1032
346,392,742,1162
347,477,566,991
348,535,809,985
349,555,658,944
350,539,690,1094
351,686,783,864
352,536,864,1105
353,465,778,927
354,574,886,1094
355,525,758,945
356,485,735,913
357,672,667,845
358,555,644,985
359,417,692,1254
360,476,841,1104
361,487,807,1016
362,566,832,969
363,595,700,1009
364,477,563,1046
365,538,744,871
366,598,632,1010
367,486,761,952
368,598,811,905
369,608,718,996
370,552,735,1132
371,535,706,1049
372,542,795,1017
373,495,735,959
374,479,739,1022
375,558,724,995
376,633,570,1018
377,491,681,1056
378,613,662,1072
379,537,760,1122
380,573,654,1151
381,514,658,1133
382,585,711,1052
383,440,694,1082
384,744,700,987
