,300,500,800
1,0.9989,0.999,0.9983
2,0.9976,0.9981,0.9969
3,0.9959,0.9969,0.9957
4,0.9948,0.9959,0.9938
5,0.9939,0.9949,0.9919
6,0.9924,0.9938,0.9906
7,0.9909,0.9923,0.9888
8,0.9887,0.9902,0.987
9,0.9866,0.9878,0.9862
10,0.9848,0.9851,0.984
11,0.9833,0.9824,0.9814
12,0.9812,0.9795,0.9791
13,0.9791,0.9777,0.977
14,0.9765,0.9753,0.9744
15,0.9738,0.972,0.9723
16,0.9706,0.9691,0.9689
17,0.9681,0.966,0.9666
18,0.9644,0.9627,0.9628
19,0.9617,0.9596,0.959
20,0.957,0.9557,0.9555
21,0.953,0.9519,0.9509
22,0.9487,0.948,0.9461
23,0.9451,0.9442,0.9423
24,0.9414,0.939,0.9383
25,0.935,0.9338,0.9338
26,0.93,0.9297,0.9297
27,0.9245,0.9258,0.9255
28,0.9202,0.9225,0.9211
29,0.9162,0.9179,0.9169
30,0.9099,0.9139,0.9123
31,0.9046,0.9077,0.9071
32,0.8992,0.902,0.9012
33,0.893,0.8963,0.8957
34,0.8877,0.8897,0.8895
35,0.8817,0.8843,0.8827
36,0.8751,0.8775,0.8767
37,0.8671,0.8708,0.871
38,0.8609,0.8649,0.8642
39,0.8548,0.8584,0.8578
40,0.8494,0.8518,0.8495
41,0.842,0.8453,0.8412
42,0.8339,0.8377,0.8342
43,0.8259,0.8301,0.8275
44,0.8193,0.8227,0.8227
45,0.8124,0.816,0.8161
46,0.8049,0.8087,0.8107
47,0.798,0.8019,0.8032
48,0.7912,0.7965,0.7952
49,0.7826,0.789,0.7874
50,0.7755,0.7822,0.7801
51,0.7689,0.7761,0.7731
52,0.7615,0.7686,0.7649
53,0.7535,0.7588,0.7567
54,0.7453,0.751,0.7499
55,0.7384,0.7429,0.7403
56,0.7313,0.7334,0.7326
57,0.7245,0.7246,0.7264
58,0.7157,0.7161,0.7184
59,0.7078,0.7088,0.7101
60,0.699,0.7008,0.7021
61,0.6914,0.6932,0.6943
62,0.6818,0.6856,0.6867
63,0.6746,0.6753,0.6785
64,0.6652,0.667,0.6684
65,0.6564,0.6578,0.6595
66,0.6485,0.6492,0.6515
67,0.6394,0.6398,0.643
68,0.632,0.6332,0.6351
69,0.6241,0.6243,0.6271
70,0.6158,0.6156,0.6195
71,0.6075,0.6065,0.6095
72,0.5994,0.5988,0.6005
73,0.5887,0.5915,0.5924
74,0.5813,0.5833,0.5831
75,0.5721,0.5743,0.5736
76,0.5639,0.5658,0.566
77,0.5548,0.5574,0.5586
78,0.5481,0.5485,0.5498
