,300,500,800
0,382,517,854
1,401,627,932
2,327,656,952
3,398,590,862
4,392,624,953
5,467,639,826
6,453,626,875
7,391,661,869
8,344,522,886
9,345,637,851
10,456,532,892
11,368,541,909
12,398,587,994
13,417,634,908
14,388,567,889
15,301,628,901
16,447,678,879
17,419,540,904
18,438,546,835
19,327,555,972
20,410,616,844
21,425,613,981
22,328,600,882
23,333,541,827
24,324,539,920
25,361,540,898
26,412,603,897
27,395,543,839
28,479,585,882
29,340,548,881
30,425,651,824
31,368,603,833
32,441,561,912
33,402,583,1038
34,332,748,855
35,362,558,830
36,337,617,858
37,370,618,897
38,350,615,953
39,476,619,845
40,393,581,850
41,441,537,980
42,327,520,832
43,361,613,922
44,352,559,929
45,382,578,877
46,336,554,876
47,372,564,871
48,423,538,869
49,337,563,960
50,369,614,944
51,402,623,1001
52,354,582,860
53,430,578,920
54,409,605,864
55,331,617,895
56,416,603,859
57,384,539,887
58,346,653,971
59,379,562,923
60,347,630,851
61,382,657,816
62,390,635,973
63,441,514,852
64,318,563,932
65,414,512,929
66,348,649,831
67,358,688,870
68,503,710,931
69,420,664,876
70,411,588,971
71,398,625,859
72,419,615,933
73,323,626,958
74,344,550,907
75,511,575,906
76,388,540,882
77,337,569,866
78,451,540,882
79,334,587,915
80,408,652,868
81,375,606,904
82,404,563,855
83,433,512,914
84,359,544,845
85,405,602,892
86,402,560,900
87,401,624,949
88,402,621,852
89,372,623,821
90,382,568,848
91,344,535,928
92,328,642,926
93,494,569,859
94,351,577,844
95,356,606,860
96,531,621,913
97,392,646,954
98,411,557,897
99,374,651,826
100,426,626,850
101,333,545,935
102,343,542,917
103,317,533,940
104,431,630,823
105,418,604,815
106,345,594,920
107,560,643,864
108,322,616,943
109,488,624,873
110,371,622,870
111,311,556,874
112,393,621,832
113,472,553,854
114,360,576,875
115,346,640,925
116,345,591,873
117,351,640,987
118,447,564,865
119,343,534,845
120,353,586,851
121,475,556,890
122,353,523,839
123,360,600,947
124,314,507,875
125,475,639,911
126,388,656,933
127,390,570,873
128,376,542,894
129,345,525,852
130,336,557,864
131,382,590,841
132,438,572,829
133,424,651,869
134,346,551,842
135,342,547,919
136,351,563,911
137,407,627,901
138,472,569,865
139,472,666,871
140,395,674,855
141,402,536,841
142,436,600,922
143,405,645,975
144,501,586,881
145,370,527,845
146,322,724,886
147,370,579,1056
148,379,696,955
149,419,561,962
150,358,640,854
151,436,671,884
152,494,533,853
153,461,514,891
154,340,572,843
155,379,565,837
156,357,623,913
157,389,515,891
158,363,526,926
159,385,659,900
160,384,566,862
161,475,599,907
162,325,661,918
163,444,589,839
164,408,535,925
165,419,569,882
166,407,601,949
167,373,517,860
168,372,599,895
169,321,628,925
170,317,511,847
171,409,547,980
172,350,656,946
173,378,563,931
174,410,534,867
175,346,637,947
176,397,522,917
177,465,652,913
178,335,573,871
179,350,617,861
180,325,643,936
181,422,537,879
182,346,610,961
183,399,561,873
184,432,581,886
185,518,594,1028
186,403,741,888
187,346,618,962
188,466,595,857
189,375,566,934
190,499,581,968
191,384,513,814
192,408,593,930
193,375,557,829
194,350,602,885
195,351,592,899
196,318,663,820
197,320,539,819
198,411,607,863
199,389,594,869
200,407,591,855
201,426,555,882
202,388,556,861
203,388,626,1052
204,377,625,862
205,341,526,921
206,456,512,894
207,367,597,828
208,429,642,811
209,489,541,891
210,343,595,885
211,405,539,903
212,377,687,847
213,397,572,886
214,404,726,843
215,409,635,912
216,318,648,858
217,453,641,842
218,373,648,835
219,415,629,974
220,436,561,840
221,500,561,826
222,394,546,863
223,370,597,856
224,322,589,804
225,442,668,880
226,417,593,854
227,361,564,870
228,382,602,827
