,300,500,800
1,1.2716,1.0397,0.9935
2,1.2657,1.034,0.989
3,1.2602,1.0311,0.9856
4,1.2562,1.027,0.9829
5,1.2526,1.0234,0.9801
6,1.2491,1.0206,0.9778
7,1.2452,1.018,0.9746
8,1.2417,1.0149,0.9712
9,1.2376,1.0125,0.9686
10,1.2332,1.0098,0.9667
11,1.2294,1.0076,0.9634
12,1.2254,1.0052,0.9612
13,1.2221,1.0031,0.9575
14,1.2174,0.9994,0.9559
15,1.2141,0.9962,0.9533
16,1.2095,0.9938,0.9499
17,1.2059,0.9913,0.9477
18,1.2014,0.9884,0.9446
19,1.1979,0.9853,0.9418
20,1.1939,0.9831,0.94
21,1.1895,0.9803,0.9369
22,1.1861,0.9783,0.9345
23,1.1832,0.9748,0.9315
24,1.1789,0.9722,0.9292
25,1.1752,0.969,0.9266
26,1.1706,0.965,0.9231
27,1.166,0.9622,0.9204
28,1.1614,0.9588,0.9173
29,1.1565,0.9554,0.9149
30,1.1529,0.953,0.9123
31,1.1488,0.9501,0.9092
32,1.1448,0.9471,0.9051
33,1.141,0.9441,0.9029
34,1.137,0.9417,0.9004
35,1.1319,0.938,0.8975
36,1.1273,0.9347,0.8952
37,1.1237,0.9324,0.8922
38,1.1191,0.9293,0.8893
39,1.1154,0.9266,0.8868
40,1.1117,0.9228,0.8835
41,1.1082,0.9195,0.8807
42,1.1035,0.916,0.878
43,1.1002,0.9123,0.875
44,1.0976,0.909,0.8706
45,1.0934,0.9056,0.8684
46,1.0899,0.9026,0.8646
47,1.0859,0.9001,0.8609
48,1.0801,0.8975,0.8584
49,1.0737,0.8938,0.8565
50,1.0698,0.8902,0.8533
51,1.0656,0.887,0.8495
52,1.0618,0.8834,0.847
53,1.0573,0.8797,0.8444
54,1.0527,0.8758,0.8409
55,1.0485,0.8728,0.8376
56,1.0454,0.8694,0.8346
57,1.0408,0.867,0.8313
58,1.0365,0.8644,0.8281
59,1.0318,0.8609,0.8253
60,1.0283,0.8582,0.8229
61,1.0245,0.854,0.8201
62,1.0209,0.8504,0.8164
63,1.0166,0.8465,0.8133
64,1.0125,0.8427,0.8105
65,1.0093,0.8397,0.807
66,1.0052,0.8367,0.8045
67,1.0015,0.8332,0.8018
68,0.9966,0.8308,0.7986
69,0.9917,0.827,0.7961
70,0.9869,0.8238,0.7939
71,0.9832,0.8212,0.7917
72,0.9796,0.8183,0.7884
73,0.9754,0.8153,0.7852
74,0.9715,0.8121,0.7819
75,0.9676,0.8086,0.7791
76,0.964,0.8052,0.7763
77,0.9609,0.8023,0.774
78,0.9572,0.7999,0.7709
79,0.9531,0.7977,0.7681
80,0.9493,0.7954,0.7652
81,0.9461,0.7917,0.7624
82,0.941,0.7889,0.7596
83,0.937,0.7852,0.7568
84,0.9334,0.7825,0.7535
85,0.9306,0.7793,0.7512
86,0.9273,0.7767,0.7476
87,0.9229,0.774,0.745
88,0.9187,0.7708,0.7425
89,0.9138,0.7681,0.7385
90,0.9099,0.7654,0.7351
91,0.905,0.7617,0.7329
92,0.9005,0.7575,0.7307
93,0.8951,0.7547,0.7272
94,0.8902,0.7513,0.7237
95,0.8871,0.7487,0.7214
96,0.8823,0.746,0.719
97,0.8775,0.7434,0.7156
98,0.8733,0.7402,0.713
99,0.8681,0.7364,0.7104
100,0.8633,0.7331,0.7073
101,0.8593,0.7303,0.7045
102,0.8561,0.7278,0.7013
103,0.8521,0.7246,0.6978
104,0.8482,0.7204,0.6951
