,300,500,800
0,305,602,1068
1,674,559,1076
2,539,738,855
3,630,654,899
4,502,628,1019
5,353,1139,1008
6,303,778,854
7,650,656,948
8,459,643,925
9,496,646,868
10,703,656,1043
11,648,724,1382
12,842,571,895
13,369,694,946
14,347,554,920
15,463,632,842
16,799,747,934
17,732,566,928
18,527,726,1071
19,431,655,1018
20,442,746,995
21,466,557,833
22,558,863,1057
23,636,931,1011
24,445,669,1387
25,647,527,805
26,364,738,1383
27,658,724,1059
28,450,657,878
29,463,624,1195
30,422,662,1149
31,380,982,907
32,626,652,951
33,439,535,930
34,393,718,914
35,648,523,830
36,673,642,1441
37,574,809,892
38,921,915,1117
39,676,652,1146
40,584,537,1158
41,369,597,1151
42,439,685,1043
43,508,543,863
44,930,601,937
45,458,652,1132
46,358,748,1049
47,570,705,895
48,602,883,928
49,480,835,857
50,638,602,1027
51,403,836,995
52,488,554,910
53,450,690,1307
54,458,528,1092
55,560,569,1047
56,457,677,1018
57,382,631,895
58,480,758,924
59,393,913,1066
60,405,745,910
61,395,1126,957
62,459,562,900
63,636,721,1305
64,673,564,885
65,397,702,963
66,422,793,1129
67,589,679,816
68,626,643,1254
69,536,621,1145
70,318,630,880
71,353,501,963
72,475,593,1074
73,594,564,1040
74,824,573,942
75,736,535,1115
76,340,889,985
77,444,733,959
78,484,650,1013
79,609,803,841
80,572,546,1100
81,405,714,1208
82,498,896,1145
83,556,1066,965
84,376,592,1107
85,614,730,846
86,757,595,959
87,425,658,985
88,459,813,1191
89,580,583,1061
90,699,668,921
91,368,558,966
92,694,507,896
93,702,681,962
94,542,526,937
95,676,644,1045
96,518,511,970
97,493,1097,960
98,723,704,1204
99,660,767,1050
100,352,676,813
101,478,992,1005
102,391,680,1335
103,485,781,1026
104,505,1052,950
105,514,882,1204
106,517,575,1283
107,339,717,1114
108,349,867,1038
109,402,1029,812
110,501,1293,881
111,305,619,1202
112,676,866,1107
113,471,586,892
114,464,569,945
115,450,851,1074
116,545,594,847
117,585,1135,960
118,428,528,1062
119,434,776,818
120,314,795,862
121,775,915,901
122,565,682,846
123,403,756,942
124,447,678,846
125,317,592,802
126,770,715,1121
127,719,610,861
128,447,709,1004
129,318,612,908
130,326,617,1034
131,871,665,1042
132,589,743,1115
133,344,748,1180
134,476,513,1030
135,475,731,864
136,323,942,1074
137,502,963,892
138,580,733,1004
139,557,760,836
140,910,615,810
141,610,541,1051
142,675,795,847
143,694,717,921
144,302,680,992
145,478,736,997
146,464,686,989
147,799,721,802
148,584,660,926
149,552,749,829
150,348,714,803
151,430,775,820
152,652,842,865
153,557,509,877
154,782,697,860
155,619,1043,1116
156,447,805,1107
157,445,650,838
158,503,663,1107
159,498,707,1289
160,609,779,827
