,300,500,800
0,1.0219,1.0001,1.0
1,1.0021,0.9823,0.9807
2,0.992,0.9744,0.9711
3,0.9858,0.9676,0.9661
4,0.9791,0.9617,0.9595
5,0.9734,0.9567,0.9545
6,0.9674,0.9518,0.9496
7,0.9615,0.9464,0.9449
8,0.9559,0.9414,0.9409
9,0.9512,0.9364,0.9365
10,0.9466,0.9316,0.9314
11,0.9411,0.9266,0.9256
12,0.9365,0.9218,0.9211
13,0.931,0.9171,0.9164
14,0.9268,0.9128,0.9108
15,0.9222,0.9069,0.9056
16,0.9171,0.9032,0.901
17,0.9137,0.8977,0.897
18,0.9071,0.8919,0.8917
19,0.9014,0.8863,0.8861
20,0.8953,0.8808,0.8806
21,0.8899,0.8753,0.8765
22,0.884,0.8698,0.8709
23,0.8779,0.8644,0.8644
24,0.8727,0.8589,0.8591
25,0.8684,0.8532,0.8533
26,0.8631,0.8468,0.8486
27,0.8564,0.8423,0.8429
28,0.8501,0.8361,0.8375
29,0.8432,0.8293,0.8322
30,0.8384,0.824,0.8262
31,0.8337,0.8184,0.8203
32,0.8278,0.8127,0.8146
33,0.8217,0.8063,0.8087
34,0.8159,0.8011,0.804
35,0.8109,0.7951,0.7986
36,0.8045,0.7901,0.7931
37,0.7975,0.7858,0.7863
38,0.7911,0.7796,0.7806
39,0.7859,0.775,0.7758
40,0.7804,0.7702,0.7696
41,0.7745,0.7637,0.7646
42,0.7692,0.7581,0.7602
43,0.7642,0.7529,0.7549
44,0.7598,0.7469,0.7495
45,0.7538,0.7423,0.7435
46,0.748,0.7372,0.7384
47,0.7429,0.7321,0.7322
48,0.7372,0.7277,0.7261
49,0.7314,0.7223,0.7195
50,0.7261,0.7165,0.7147
51,0.7208,0.7101,0.71
52,0.7155,0.7046,0.7044
53,0.7105,0.6982,0.6992
54,0.7041,0.6926,0.695
55,0.6983,0.6878,0.6898
56,0.6935,0.6829,0.6838
57,0.6885,0.6783,0.6789
58,0.6816,0.6721,0.6745
59,0.6767,0.6662,0.6693
60,0.6717,0.6624,0.6641
61,0.667,0.657,0.6574
62,0.6612,0.6512,0.6508
63,0.655,0.6456,0.6458
64,0.6493,0.64,0.6405
65,0.6435,0.6341,0.6366
66,0.636,0.6288,0.6313
67,0.63,0.6228,0.6264
68,0.6247,0.6171,0.6215
69,0.6195,0.6126,0.6155
70,0.6137,0.607,0.6098
71,0.6085,0.6027,0.6037
72,0.6043,0.5992,0.5991
73,0.5993,0.5935,0.5936
74,0.5949,0.5896,0.5883
75,0.5896,0.5839,0.5845
76,0.5837,0.5794,0.5798
77,0.5789,0.5741,0.5745
78,0.5736,0.5693,0.5693
79,0.569,0.5641,0.5643
80,0.5643,0.5594,0.5597
81,0.5591,0.5544,0.5548
82,0.5557,0.5488,0.5496
83,0.5508,0.5448,0.5436
84,0.5455,0.5395,0.5395
85,0.5407,0.535,0.5355
86,0.5349,0.5315,0.53
87,0.53,0.5264,0.5249
88,0.5244,0.521,0.5189
89,0.5193,0.5161,0.5142
90,0.5131,0.5109,0.5084
91,0.5078,0.5059,0.5039
92,0.5022,0.5005,0.499
93,0.4971,0.496,0.4951
94,0.4924,0.4918,0.4904
95,0.4871,0.4865,0.486
96,0.4836,0.482,0.4816
97,0.4791,0.475,0.4775
98,0.4745,0.4689,0.4729
99,0.4704,0.464,0.4672
100,0.4666,0.459,0.4622
101,0.4622,0.4546,0.4575
102,0.457,0.4495,0.4523
103,0.4512,0.4455,0.4479
104,0.4467,0.4402,0.443
