,300,500,800
0,1.2797,1.0518,1.0022
1,1.271,1.0425,0.9916
2,1.2639,1.037,0.9868
3,1.2587,1.0338,0.9838
4,1.2544,1.0309,0.9801
5,1.2503,1.0275,0.9776
6,1.2468,1.0238,0.976
7,1.2437,1.0198,0.9738
8,1.2397,1.0172,0.9717
9,1.2365,1.0145,0.9692
10,1.2324,1.0121,0.9662
11,1.2262,1.0091,0.9634
12,1.2229,1.0057,0.9605
13,1.2189,1.0023,0.9585
14,1.2137,0.9995,0.9554
15,1.2103,0.9973,0.9533
16,1.2066,0.9948,0.9512
17,1.2028,0.9922,0.9489
18,1.1986,0.9901,0.9446
19,1.1955,0.988,0.9423
20,1.1918,0.9857,0.9396
21,1.1879,0.9827,0.9377
22,1.1837,0.9807,0.9354
23,1.181,0.9783,0.9329
24,1.1764,0.9747,0.9305
25,1.1723,0.9713,0.9284
26,1.1692,0.9678,0.9262
27,1.1642,0.9644,0.9228
28,1.1602,0.9616,0.9201
29,1.157,0.9593,0.9165
30,1.1531,0.9555,0.9137
31,1.1493,0.9529,0.9112
32,1.1449,0.9501,0.9079
33,1.1409,0.9478,0.905
34,1.1355,0.9446,0.9021
35,1.131,0.9405,0.8994
36,1.1274,0.9362,0.8972
37,1.123,0.9325,0.8938
38,1.1183,0.93,0.8919
39,1.1145,0.9277,0.8897
40,1.1102,0.9242,0.8872
41,1.1062,0.9203,0.8842
42,1.1024,0.9163,0.8813
43,1.0978,0.9128,0.8779
44,1.0941,0.9097,0.8756
45,1.0901,0.906,0.8721
46,1.0852,0.9036,0.8703
47,1.0813,0.9001,0.8668
48,1.0778,0.8978,0.8633
49,1.0721,0.8946,0.8607
50,1.0674,0.8908,0.8578
51,1.0641,0.8883,0.8541
52,1.0597,0.8844,0.8515
53,1.0559,0.8807,0.8483
54,1.0518,0.8778,0.8468
55,1.0482,0.8749,0.8444
56,1.0438,0.8706,0.8403
57,1.0411,0.867,0.8375
58,1.0373,0.8653,0.8342
59,1.034,0.8619,0.8314
60,1.0301,0.8581,0.8287
61,1.0257,0.8544,0.8251
62,1.0207,0.8503,0.8221
63,1.0174,0.8472,0.8192
64,1.0132,0.8442,0.8157
65,1.0092,0.8405,0.8129
66,1.0046,0.8378,0.8096
67,1.0004,0.8343,0.8067
68,0.9966,0.8315,0.8034
69,0.9925,0.8282,0.8016
70,0.9885,0.8259,0.798
71,0.9856,0.8221,0.795
72,0.9833,0.8187,0.7921
73,0.9796,0.8154,0.7906
74,0.9754,0.8122,0.7882
75,0.9706,0.8091,0.7848
76,0.9673,0.8066,0.7815
77,0.9629,0.8029,0.7784
78,0.9595,0.8002,0.7755
79,0.9554,0.7971,0.7722
80,0.9523,0.7947,0.769
81,0.9472,0.7931,0.765
82,0.9445,0.7894,0.7629
83,0.9416,0.7868,0.7602
84,0.9377,0.7837,0.7574
85,0.9331,0.7808,0.7534
86,0.9296,0.7774,0.7513
87,0.9272,0.7739,0.7486
88,0.9236,0.77,0.7455
89,0.9193,0.7671,0.743
90,0.9153,0.764,0.7402
91,0.9113,0.7599,0.7373
92,0.9075,0.7571,0.7343
93,0.9028,0.7537,0.7308
94,0.8996,0.7505,0.7276
95,0.8957,0.7473,0.7245
96,0.8919,0.7437,0.7228
97,0.8885,0.7409,0.7197
98,0.8838,0.7377,0.7158
99,0.8797,0.7355,0.7125
100,0.8764,0.7326,0.7091
101,0.8718,0.7295,0.706
102,0.8684,0.7268,0.7034
103,0.8644,0.7234,0.7007
104,0.8609,0.7202,0.6984
105,0.8564,0.7167,0.695
106,0.8536,0.7136,0.6928
107,0.8487,0.71,0.6905
108,0.8442,0.7064,0.6871
109,0.8399,0.7035,0.6843
110,0.8356,0.7011,0.6814
111,0.8313,0.6979,0.6782
112,0.8277,0.6955,0.6759
113,0.8237,0.6932,0.6725
114,0.8209,0.6902,0.6702
115,0.8162,0.6871,0.667
116,0.8132,0.6838,0.6643
117,0.8096,0.681,0.661
118,0.8054,0.6783,0.6585
119,0.802,0.6759,0.6557
120,0.799,0.6738,0.6535
121,0.7954,0.6714,0.6501
122,0.7914,0.6688,0.6469
123,0.7878,0.6662,0.6447
124,0.7839,0.6634,0.6421
125,0.7795,0.6598,0.6401
126,0.7767,0.6572,0.6373
127,0.774,0.6548,0.6342
128,0.7703,0.6512,0.6313
129,0.7669,0.6488,0.629
130,0.7627,0.6461,0.626
131,0.7599,0.6424,0.6237
132,0.7559,0.6401,0.6217
133,0.7518,0.6373,0.6183
134,0.7485,0.6341,0.6158
