,300,500,800
0,471.0,661.0,949.0
1,532.0,758.0,1018.0
2,393.0,546.0,864.0
3,374.0,584.0,886.0
4,387.0,573.0,887.0
5,301.0,520.0,801.0
6,537.0,742.0,1067.0
7,315.0,541.0,803.0
8,351.0,551.0,865.0
9,489.0,667.0,1038.0
10,416.0,593.0,955.0
11,398.0,621.0,881.0
12,344.0,553.0,859.0
13,348.0,591.0,830.0
14,315.0,531.0,844.0
15,415.0,586.0,924.0
16,393.0,570.0,849.0
17,391.0,653.0,908.0
18,367.0,587.0,870.0
19,325.0,505.0,819.0
20,416.0,639.0,903.0
21,421.0,625.0,960.0
22,359.0,521.0,839.0
23,539.0,722.0,1056.0
24,386.0,554.0,836.0
25,547.0,779.0,1051.0
26,464.0,665.0,948.0
27,321.0,540.0,846.0
28,428.0,623.0,926.0
29,403.0,603.0,944.0
30,365.0,590.0,910.0
31,511.0,681.0,1004.0
32,301.0,506.0,804.0
33,417.0,610.0,887.0
34,349.0,562.0,845.0
35,487.0,630.0,987.0
36,426.0,633.0,918.0
37,494.0,696.0,976.0
38,512.0,719.0,1009.0
39,337.0,531.0,830.0
40,344.0,539.0,824.0
41,388.0,549.0,864.0
42,302.0,542.0,802.0
43,422.0,613.0,945.0
44,502.0,699.0,1005.0
45,307.0,512.0,822.0
46,442.0,644.0,971.0
47,358.0,565.0,869.0
48,498.0,656.0,916.0
49,440.0,644.0,920.0
50,353.0,549.0,848.0
51,358.0,529.0,863.0
52,493.0,685.0,978.0
53,352.0,535.0,820.0
54,376.0,531.0,850.0
55,368.0,583.0,861.0
56,475.0,686.0,986.0
57,352.0,540.0,862.0
58,403.0,591.0,882.0
59,390.0,573.0,852.0
60,361.0,538.0,843.0
61,329.0,548.0,812.0
62,543.0,774.0,1071.0
63,544.0,761.0,1058.0
64,333.0,507.0,822.0
65,503.0,688.0,981.0
66,390.0,578.0,927.0
67,397.0,629.0,957.0
68,585.0,823.0,1121.0
69,437.0,673.0,979.0
70,372.0,505.0,804.0
71,413.0,640.0,946.0
72,450.0,644.0,983.0
73,310.0,505.0,818.0
74,315.0,525.0,831.0
75,371.0,598.0,850.0
76,338.0,527.0,819.0
77,434.0,623.0,903.0
78,334.0,524.0,870.0
79,392.0,580.0,865.0
80,419.0,589.0,919.0
81,390.0,610.0,905.0
82,395.0,592.0,876.0
83,425.0,660.0,922.0
84,358.0,604.0,868.0
85,402.0,582.0,911.0
86,433.0,642.0,944.0
87,521.0,687.0,953.0
88,594.0,829.0,1091.0
89,398.0,590.0,943.0
90,359.0,577.0,887.0
91,498.0,686.0,949.0
92,366.0,576.0,899.0
93,326.0,515.0,820.0
94,410.0,596.0,906.0
95,358.0,535.0,883.0
96,334.0,532.0,823.0
97,426.0,630.0,928.0
