,300,500,800
0,619.0,816.0,1138.0
1,762.0,933.0,1210.0
2,427.0,632.0,922.0
3,456.0,669.0,1006.0
4,471.0,664.0,981.0
5,327.0,516.0,818.0
6,778.0,1002.0,1265.0
7,373.0,547.0,836.0
8,484.0,631.0,897.0
9,675.0,861.0,1157.0
10,506.0,722.0,1066.0
11,588.0,735.0,1002.0
12,401.0,636.0,901.0
13,418.0,612.0,885.0
14,462.0,555.0,842.0
15,492.0,718.0,1028.0
16,432.0,626.0,923.0
17,521.0,743.0,1059.0
18,488.0,652.0,911.0
19,346.0,565.0,858.0
20,521.0,743.0,991.0
21,588.0,779.0,1094.0
22,374.0,577.0,872.0
23,750.0,921.0,1287.0
24,408.0,600.0,896.0
25,758.0,967.0,1285.0
26,635.0,782.0,1063.0
27,331.0,563.0,868.0
28,562.0,771.0,1058.0
29,506.0,718.0,1065.0
30,439.0,657.0,983.0
31,740.0,891.0,1167.0
32,301.0,505.0,801.0
33,522.0,712.0,993.0
34,368.0,597.0,874.0
35,634.0,838.0,1153.0
36,547.0,733.0,1022.0
37,655.0,842.0,1150.0
38,689.0,857.0,1168.0
39,354.0,542.0,855.0
40,405.0,592.0,902.0
41,401.0,602.0,923.0
42,301.0,520.0,802.0
43,654.0,758.0,1050.0
44,700.0,903.0,1164.0
45,312.0,521.0,848.0
46,552.0,775.0,1004.0
47,434.0,682.0,949.0
48,610.0,800.0,1076.0
49,591.0,784.0,1062.0
50,396.0,608.0,914.0
51,384.0,615.0,921.0
52,657.0,851.0,1143.0
53,368.0,556.0,858.0
54,421.0,588.0,871.0
55,444.0,641.0,942.0
56,655.0,837.0,1165.0
57,437.0,599.0,899.0
58,485.0,662.0,957.0
59,472.0,635.0,941.0
60,415.0,582.0,934.0
61,345.0,588.0,845.0
62,819.0,1047.0,1384.0
63,840.0,1046.0,1339.0
64,338.0,541.0,829.0
65,675.0,870.0,1189.0
66,499.0,733.0,1012.0
67,550.0,752.0,1050.0
68,920.0,1116.0,1426.0
69,618.0,819.0,1146.0
70,373.0,516.0,804.0
71,582.0,798.0,1112.0
72,614.0,819.0,1082.0
73,310.0,530.0,821.0
74,349.0,536.0,842.0
75,535.0,637.0,914.0
76,439.0,538.0,851.0
77,524.0,713.0,1037.0
78,381.0,611.0,886.0
79,492.0,667.0,955.0
80,521.0,689.0,1000.0
81,512.0,720.0,990.0
82,458.0,668.0,966.0
83,566.0,773.0,1077.0
84,481.0,653.0,957.0
85,497.0,671.0,1025.0
86,622.0,822.0,1117.0
87,681.0,881.0,1158.0
88,870.0,1039.0,1336.0
89,476.0,684.0,1046.0
90,456.0,623.0,934.0
91,669.0,867.0,1148.0
92,465.0,684.0,1014.0
93,351.0,525.0,840.0
94,461.0,684.0,987.0
95,382.0,638.0,908.0
96,359.0,553.0,857.0
97,572.0,770.0,1106.0
98,461.0,801.0,1053.0
99,341.0,521.0,827.0
100,809.0,1004.0,1278.0
101,749.0,1012.0,1344.0
102,396.0,608.0,926.0
103,762.0,962.0,1247.0
104,355.0,558.0,848.0
105,486.0,698.0,983.0
106,456.0,659.0,990.0
107,424.0,624.0,920.0
108,764.0,562.0,1049.0
109,584.0,775.0,1110.0
110,636.0,746.0,1044.0
111,403.0,625.0,914.0
112,311.0,516.0,822.0
113,396.0,603.0,916.0
114,525.0,643.0,930.0
115,468.0,618.0,927.0
116,398.0,591.0,872.0
117,311.0,526.0,804.0
118,451.0,614.0,942.0
119,512.0,728.0,1004.0
120,489.0,677.0,965.0
121,424.0,621.0,959.0
122,362.0,518.0,801.0
123,461.0,634.0,920.0
124,532.0,739.0,1054.0
125,756.0,974.0,1233.0
126,377.0,576.0,895.0
127,421.0,502.0,818.0
128,475.0,644.0,977.0
129,325.0,546.0,835.0
130,569.0,734.0,993.0
131,770.0,973.0,1330.0
132,318.0,546.0,831.0
133,389.0,555.0,839.0
134,394.0,619.0,882.0
135,597.0,803.0,1108.0
136,536.0,784.0,1052.0
137,517.0,686.0,975.0
138,428.0,628.0,884.0
139,557.0,753.0,1058.0
140,618.0,830.0,1161.0
141,431.0,652.0,942.0
142,530.0,727.0,1006.0
143,335.0,525.0,823.0
144,304.0,502.0,804.0
145,332.0,566.0,822.0
146,435.0,599.0,888.0
147,374.0,515.0,819.0
148,552.0,612.0,900.0
149,972.0,1160.0,1512.0
150,379.0,590.0,902.0
151,507.0,699.0,980.0
152,718.0,901.0,1199.0
153,453.0,676.0,935.0
154,540.0,738.0,1024.0
155,500.0,732.0,1029.0
156,429.0,612.0,890.0
157,431.0,638.0,919.0
158,960.0,1171.0,1487.0
159,645.0,886.0,1113.0
160,503.0,735.0,1067.0
161,480.0,731.0,1027.0
162,342.0,542.0,814.0
163,325.0,524.0,828.0
164,483.0,605.0,885.0
165,392.0,614.0,915.0
166,399.0,551.0,880.0
167,648.0,863.0,1178.0
168,341.0,554.0,822.0
169,431.0,616.0,894.0
170,441.0,653.0,953.0
171,510.0,743.0,1026.0
172,552.0,769.0,1071.0
173,771.0,964.0,1264.0
174,377.0,584.0,905.0
175,502.0,687.0,1027.0
176,441.0,645.0,951.0
177,599.0,798.0,1086.0
178,354.0,544.0,852.0
179,472.0,698.0,989.0
180,321.0,519.0,835.0
181,536.0,723.0,1028.0
182,581.0,793.0,1108.0
183,369.0,544.0,844.0
184,650.0,873.0,1168.0
185,523.0,716.0,1001.0
186,545.0,761.0,1073.0
187,476.0,665.0,949.0
188,730.0,903.0,1171.0
189,377.0,625.0,921.0
190,401.0,592.0,873.0
191,527.0,723.0,1014.0
192,576.0,758.0,1048.0
193,459.0,630.0,909.0
194,351.0,570.0,856.0
195,397.0,630.0,910.0
196,302.0,554.0,843.0
197,331.0,559.0,830.0
198,349.0,529.0,840.0
199,423.0,663.0,940.0
200,367.0,600.0,865.0
201,587.0,775.0,1107.0
202,589.0,770.0,1042.0
203,798.0,953.0,1277.0
204,481.0,673.0,1004.0
205,905.0,1224.0,1421.0
206,313.0,535.0,825.0
207,537.0,678.0,971.0
208,302.0,571.0,841.0
209,413.0,601.0,939.0
210,966.0,1159.0,1433.0
211,627.0,832.0,1141.0
212,583.0,779.0,1091.0
213,547.0,757.0,1057.0
214,737.0,942.0,1216.0
215,541.0,748.0,1058.0
216,698.0,864.0,1191.0
217,514.0,696.0,1056.0
218,730.0,964.0,1238.0
219,400.0,603.0,908.0
220,394.0,559.0,922.0
221,1108.0,1244.0,1546.0
222,800.0,998.0,1272.0
223,436.0,606.0,947.0
224,367.0,614.0,886.0
225,661.0,883.0,1178.0
226,499.0,703.0,997.0
227,334.0,506.0,821.0
228,881.0,1062.0,1436.0
229,397.0,571.0,871.0
230,343.0,530.0,861.0
231,559.0,740.0,1049.0
232,663.0,795.0,1146.0
233,455.0,653.0,947.0
234,549.0,753.0,1079.0
235,548.0,732.0,1011.0
236,523.0,750.0,1031.0
237,690.0,900.0,1188.0
238,393.0,568.0,872.0
239,516.0,697.0,966.0
240,569.0,742.0,1031.0
241,896.0,1101.0,1421.0
242,354.0,564.0,863.0
243,385.0,574.0,902.0
244,578.0,803.0,1103.0
245,465.0,714.0,987.0
246,614.0,786.0,1075.0
247,361.0,561.0,866.0
248,482.0,662.0,979.0
249,670.0,855.0,1171.0
250,477.0,688.0,966.0
251,691.0,884.0,1187.0
252,767.0,966.0,1234.0
253,527.0,717.0,1033.0
254,391.0,549.0,866.0
255,474.0,684.0,983.0
256,574.0,787.0,1084.0
257,579.0,816.0,1067.0
258,466.0,681.0,964.0
